record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
1473,0,0,0.9995603561401367,High (≥0.8),0,0.9832999408835277,High (≥0.8)
1477,0,0,0.9985725283622742,High (≥0.8),0,0.6461523496410158,Medium (0.6-0.8)
1488,0,0,0.9995998740196228,High (≥0.8),0,0.9890165745036583,High (≥0.8)
1557,0,0,0.9995949864387512,High (≥0.8),0,0.8708482437180083,High (≥0.8)
1573,0,0,0.999620795249939,High (≥0.8),0,0.9701145391669679,High (≥0.8)
1574,0,0,0.9995743036270142,High (≥0.8),0,0.9900870399523796,High (≥0.8)
1593,0,0,0.9995947480201721,High (≥0.8),0,0.8467652439195279,High (≥0.8)
1604,0,0,0.9998214244842529,High (≥0.8),0,0.9863001278928517,High (≥0.8)
1605,0,0,0.9998300075531006,High (≥0.8),0,0.9911070842956672,High (≥0.8)
1637,0,0,0.9998322129249573,High (≥0.8),0,0.9890699922202727,High (≥0.8)
1717,0,0,0.999320387840271,High (≥0.8),0,0.9761036477328869,High (≥0.8)
1727,0,0,0.9993287324905396,High (≥0.8),0,0.9466130781513267,High (≥0.8)
1778,0,0,0.9997469186782837,High (≥0.8),0,0.981860208466342,High (≥0.8)
1838,0,0,0.9997294545173645,High (≥0.8),0,0.92495853629746,High (≥0.8)
1851,0,0,0.9997576475143433,High (≥0.8),0,0.862533017690244,High (≥0.8)
115,0,0,0.9996403455734253,High (≥0.8),0,0.9195369018947115,High (≥0.8)
147,0,0,0.9997828602790833,High (≥0.8),0,0.990738246907026,High (≥0.8)
206,0,0,0.9996597170829773,High (≥0.8),0,0.9841190063809285,High (≥0.8)
268,0,0,0.999748945236206,High (≥0.8),0,0.9882513674054447,High (≥0.8)
305,0,0,0.999553382396698,High (≥0.8),0,0.9745926380939264,High (≥0.8)
369,0,0,0.9996261596679688,High (≥0.8),0,0.796976748548232,Medium (0.6-0.8)
472,0,0,0.9997529983520508,High (≥0.8),0,0.9941091307089958,High (≥0.8)
535,0,0,0.9995701313018799,High (≥0.8),0,0.9977871996853803,High (≥0.8)
557,0,0,0.9995838403701782,High (≥0.8),0,0.9897294453784239,High (≥0.8)
583,0,0,0.9969501495361328,High (≥0.8),0,0.9945119693425258,High (≥0.8)
780,0,0,0.9996256828308105,High (≥0.8),0,0.6402586388290206,Medium (0.6-0.8)
975,0,0,0.9995942711830139,High (≥0.8),0,0.9965087553493635,High (≥0.8)
992,0,0,0.9997694492340088,High (≥0.8),0,0.9974749190194949,High (≥0.8)
1049,0,0,0.9994155764579773,High (≥0.8),0,0.9962240053493401,High (≥0.8)
1059,0,0,0.9996376037597656,High (≥0.8),0,0.9440736579455429,High (≥0.8)
1123,0,0,0.9996131062507629,High (≥0.8),0,0.9889716891179099,High (≥0.8)
1136,0,0,0.9997803568840027,High (≥0.8),0,0.9467750839105595,High (≥0.8)
1153,0,0,0.9996516108512878,High (≥0.8),0,0.9881253493581145,High (≥0.8)
1154,0,0,0.9998623728752136,High (≥0.8),0,0.9881253493581145,High (≥0.8)
1163,0,0,0.9998555779457092,High (≥0.8),0,0.996724223190528,High (≥0.8)
1177,0,0,0.9997801184654236,High (≥0.8),0,0.9773618782412086,High (≥0.8)
1179,0,0,0.9993364810943604,High (≥0.8),1,0.5361169027595899,Low (<0.6)
1257,0,0,0.9996764063835144,High (≥0.8),0,0.9941091307089958,High (≥0.8)
1315,0,0,0.9996461868286133,High (≥0.8),0,0.7143603684597304,Medium (0.6-0.8)
1321,0,0,0.9997815489768982,High (≥0.8),0,0.9969770565157726,High (≥0.8)
1326,0,0,0.9996225833892822,High (≥0.8),0,0.9965665039896722,High (≥0.8)
1340,0,0,0.999431312084198,High (≥0.8),0,0.9966710238177698,High (≥0.8)
1432,0,0,0.9996428489685059,High (≥0.8),0,0.9881133575491501,High (≥0.8)
1454,0,0,0.9997678995132446,High (≥0.8),0,0.9827296558298331,High (≥0.8)
1499,0,0,0.9996265172958374,High (≥0.8),0,0.9971361448678213,High (≥0.8)
1571,0,0,0.9996113181114197,High (≥0.8),0,0.796976748548232,Medium (0.6-0.8)
1582,0,0,0.9987578988075256,High (≥0.8),0,0.995412508534108,High (≥0.8)
1656,0,0,0.9987601637840271,High (≥0.8),0,0.9977331255946302,High (≥0.8)
1696,0,0,0.9997723698616028,High (≥0.8),0,0.9768724878162413,High (≥0.8)
1739,0,0,0.9993137121200562,High (≥0.8),0,0.9774115553911423,High (≥0.8)
1749,0,0,0.9996305704116821,High (≥0.8),0,0.9974002623984016,High (≥0.8)
79,0,0,0.9995663166046143,High (≥0.8),0,0.9689631601045305,High (≥0.8)
92,0,0,0.9997708201408386,High (≥0.8),0,0.8223106100524336,High (≥0.8)
140,0,0,0.9991671442985535,High (≥0.8),0,0.7417051138460375,Medium (0.6-0.8)
173,0,0,0.9968578815460205,High (≥0.8),0,0.9724745354655011,High (≥0.8)
307,0,0,0.9996269941329956,High (≥0.8),0,0.9885716019391402,High (≥0.8)
332,0,0,0.9992040395736694,High (≥0.8),0,0.8559239877730781,High (≥0.8)
345,0,0,0.9995942711830139,High (≥0.8),0,0.9503760206359231,High (≥0.8)
360,0,0,0.999701976776123,High (≥0.8),0,0.9889692590409501,High (≥0.8)
406,0,0,0.9996211528778076,High (≥0.8),0,0.9893683199303384,High (≥0.8)
556,0,0,0.9984089136123657,High (≥0.8),0,0.7957814881369114,Medium (0.6-0.8)
562,0,0,0.9994209408760071,High (≥0.8),0,0.9866559110061219,High (≥0.8)
620,0,0,0.999868631362915,High (≥0.8),0,0.9833461022763363,High (≥0.8)
642,0,0,0.999617874622345,High (≥0.8),0,0.9822708002052734,High (≥0.8)
715,0,0,0.9996256828308105,High (≥0.8),0,0.9927752340036237,High (≥0.8)
778,0,0,0.9996329545974731,High (≥0.8),0,0.905809054433366,High (≥0.8)
971,0,0,0.9996442794799805,High (≥0.8),0,0.9965087553493635,High (≥0.8)
1024,0,0,0.9996260404586792,High (≥0.8),0,0.9974002623984016,High (≥0.8)
1053,0,0,0.9992367625236511,High (≥0.8),0,0.9916053041106719,High (≥0.8)
1099,0,0,0.9998682737350464,High (≥0.8),0,0.9956587478790406,High (≥0.8)
1117,0,0,0.9997662305831909,High (≥0.8),0,0.996724223190528,High (≥0.8)
1131,0,0,0.9996473789215088,High (≥0.8),0,0.9866859217493474,High (≥0.8)
1146,0,0,0.9995845556259155,High (≥0.8),0,0.9974669084163819,High (≥0.8)
1191,0,0,0.9995883107185364,High (≥0.8),0,0.9910014033885343,High (≥0.8)
1357,0,0,0.9996343851089478,High (≥0.8),0,0.9963024035830236,High (≥0.8)
1411,0,0,0.9995278716087341,High (≥0.8),0,0.9916053041106719,High (≥0.8)
1497,0,0,0.999327540397644,High (≥0.8),0,0.7303075316879952,Medium (0.6-0.8)
1502,0,0,0.9991918802261353,High (≥0.8),0,0.5933820014926696,Low (<0.6)
1560,0,0,0.9985479116439819,High (≥0.8),0,0.9687269433701793,High (≥0.8)
1592,0,0,0.9983670115470886,High (≥0.8),0,0.9881253493581145,High (≥0.8)
1611,0,0,0.9996386766433716,High (≥0.8),0,0.5179152683378825,Low (<0.6)
1640,0,0,0.9996599555015564,High (≥0.8),0,0.9665604013081674,High (≥0.8)
1655,0,0,0.9996854066848755,High (≥0.8),0,0.7303075316879952,Medium (0.6-0.8)
1673,0,0,0.9993346929550171,High (≥0.8),0,0.998262297901668,High (≥0.8)
1777,0,0,0.9997778534889221,High (≥0.8),0,0.9861613511254428,High (≥0.8)
1794,0,0,0.9996455907821655,High (≥0.8),0,0.9545318060996871,High (≥0.8)
1879,0,0,0.9992907643318176,High (≥0.8),0,0.984345577832596,High (≥0.8)
51,0,0,0.9996886253356934,High (≥0.8),0,0.9808764662593812,High (≥0.8)
251,0,0,0.9991247057914734,High (≥0.8),0,0.9889355556968238,High (≥0.8)
283,0,0,0.9996635317802429,High (≥0.8),0,0.991352025720245,High (≥0.8)
380,0,0,0.9991970062255859,High (≥0.8),0,0.995296173911662,High (≥0.8)
388,0,0,0.9991488456726074,High (≥0.8),0,0.9566439083473519,High (≥0.8)
419,0,0,0.9996901750564575,High (≥0.8),0,0.9924520863183925,High (≥0.8)
420,0,0,0.9996849298477173,High (≥0.8),0,0.9953284961428563,High (≥0.8)
424,0,0,0.9997727274894714,High (≥0.8),0,0.836553495162547,High (≥0.8)
444,0,0,0.9994774460792542,High (≥0.8),0,0.7918128779797642,Medium (0.6-0.8)
460,0,0,0.9996892213821411,High (≥0.8),0,0.8625212214889921,High (≥0.8)
511,0,0,0.9984878301620483,High (≥0.8),0,0.9974002623984016,High (≥0.8)
539,0,0,0.9991100430488586,High (≥0.8),0,0.9971087719726607,High (≥0.8)
571,0,0,0.9994467496871948,High (≥0.8),0,0.9625172138535351,High (≥0.8)
717,0,0,0.9992088079452515,High (≥0.8),0,0.9402967251395609,High (≥0.8)
1015,0,0,0.9991486072540283,High (≥0.8),1,0.5272814284302271,Low (<0.6)
